14:48:17 | DEBUG | __init__: 623 | Using proactor: IocpProactor
14:48:17 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
14:48:17 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5435708975,"is_bot":true,"first_name":"popovtest","username":"popov_test_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
14:48:17 | INFO | _welcome: 362 | Bot: popovtest [@popov_test_bot]
14:48:17 | INFO | start_polling: 358 | Start polling.
14:48:17 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
14:48:18 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":1}}'"
14:48:18 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
14:48:18 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431193,\n"message":{"message_id":478,"from":{"id":976896597,"is_bot":false,"first_name":"Sasha","last_name":"Borisenko","language_code":"ru"},"chat":{"id":976896597,"first_name":"Sasha","last_name":"Borisenko","type":"private"},"date":1657798065,"text":"vrfvr"}}]}'"
14:48:18 | DEBUG | start_polling: 395 | Received 1 updates.
14:48:18 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431194, 'timeout': 20}" and files "None"
14:48:38 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:48:38 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431194, 'timeout': 20}" and files "None"
14:48:58 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:48:58 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431194, 'timeout': 20}" and files "None"
14:49:18 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:49:18 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431194, 'timeout': 20}" and files "None"
14:49:38 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:49:38 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431194, 'timeout': 20}" and files "None"
14:49:59 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:49:59 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431194, 'timeout': 20}" and files "None"
14:50:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431194,\n"message":{"message_id":479,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"en"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657799409,"text":"/start","entities":[{"offset":0,"length":6,"type":"bot_command"}]}}]}'"
14:50:08 | DEBUG | start_polling: 395 | Received 1 updates.
