16:32:40 | DEBUG | __init__: 623 | Using proactor: IocpProactor
16:32:40 | DEBUG | make_request: 133 | Make request: "getMe" with data: "{}" and files "None"
16:32:40 | DEBUG | check_result: 95 | Response for getMe: [200] "'{"ok":true,"result":{"id":5435708975,"is_bot":true,"first_name":"popovtest","username":"popov_test_bot","can_join_groups":true,"can_read_all_group_messages":false,"supports_inline_queries":false}}'"
16:32:40 | INFO | _welcome: 362 | Bot: popovtest [@popov_test_bot]
16:32:40 | INFO | start_polling: 358 | Start polling.
16:32:40 | DEBUG | make_request: 133 | Make request: "getWebhookInfo" with data: "{}" and files "None"
16:32:40 | DEBUG | check_result: 95 | Response for getWebhookInfo: [200] "'{"ok":true,"result":{"url":"","has_custom_certificate":false,"pending_update_count":0}}'"
16:32:40 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'timeout': 20}" and files "None"
16:32:47 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[{"update_id":439431056,\n"message":{"message_id":214,"from":{"id":965665251,"is_bot":false,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","language_code":"ru"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657719167,"text":"15"}}]}'"
16:32:47 | DEBUG | start_polling: 395 | Received 1 updates.
16:32:47 | DEBUG | make_request: 133 | Make request: "sendMessage" with data: "{'chat_id': 965665251, 'text': 'Твоё число меньше загаданного.\nПопробуй ещё раз'}" and files "None"
16:32:47 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:32:47 | DEBUG | check_result: 95 | Response for sendMessage: [200] "'{"ok":true,"result":{"message_id":215,"from":{"id":5435708975,"is_bot":true,"first_name":"popovtest","username":"popov_test_bot"},"chat":{"id":965665251,"first_name":"\\u0430\\u0440\\u043a\\u0430\\u0448\\u0430","last_name":"\\u043b\\u043e\\u0442\\u043e\\u0432","type":"private"},"date":1657719167,"text":"\\u0422\\u0432\\u043e\\u0451 \\u0447\\u0438\\u0441\\u043b\\u043e \\u043c\\u0435\\u043d\\u044c\\u0448\\u0435 \\u0437\\u0430\\u0433\\u0430\\u0434\\u0430\\u043d\\u043d\\u043e\\u0433\\u043e.\\n\\u041f\\u043e\\u043f\\u0440\\u043e\\u0431\\u0443\\u0439 \\u0435\\u0449\\u0451 \\u0440\\u0430\\u0437"}}'"
16:33:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:33:08 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:33:28 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:33:28 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:33:48 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:33:48 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:34:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:34:08 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:34:28 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:34:28 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:34:48 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:34:49 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:35:09 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:35:09 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:35:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:35:29 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:35:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:35:49 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:36:09 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:36:09 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:36:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:36:29 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:36:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:36:50 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:37:10 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:37:10 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:37:30 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:37:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:37:50 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:37:50 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:38:10 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:38:10 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:38:30 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:38:30 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:38:51 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:38:51 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:39:11 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
16:39:11 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 439431057, 'timeout': 20}" and files "None"
16:39:31 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
